country;region;year;indicator;value
Argentina;EPHC;2005;wolfson;0,47335959
Argentina;EPHC;2005;wolfson;0,46380815
Argentina;EPHC;2006;a1;0,33478972
Argentina;EPHC;2006;a1;0,3299141
Argentina;EPHC;2006;a2;0,58560195
Argentina;EPHC;2006;a2;0,58276234
Argentina;EPHC;2006;cv;1,0997615
Argentina;EPHC;2006;cv;1,7292976
Argentina;EPHC;2006;e0;0,40764121
Argentina;EPHC;2006;e0;0,40033922
Argentina;EPHC;2006;gini;0,46804456
Argentina;EPHC;2006;gini;0,46366951
Argentina;EPHC;2006;gini_pci_urban;0,46804456
Argentina;EPHC;2006;gini_pci_urban;0,46366951
Argentina;EPHC;2006;nbi1_headcount_urban;32,928559
